School Name,School Type,Address,City,Zipcode,County,Ex_Rel,Ex_Med,Ex_Tot
Edgewood Elementary,Public,345 Mix Street,Bristol,6010,Hartford,0.0,0.0,0.0
Ellen P. Hubbell,Public,90 West Washington Street,Bristol,6010,Hartford,1.0,0.0,1.0
Greene-Hills School,Public,718 Pine Street,Bristol,6010,Hartford,0.6,0.1,0.7
Immanuel Lutheran,Non-public,154 Meadow St.,Bristol,6010,Hartford,9.4,0.0,9.4
Ivy Drive Elementary School,Public,160 Ivy Drive,Bristol,6010,Hartford,0.5,0.0,0.5
Mountain View,Public,71 Vera Road,Bristol,6010,Hartford,1.8,0.0,1.8
Northeast Middle School,Public,530 Stevens St,Bristol,6010,Hartford,1.2,0.0,1.2
South Side School,Public,21 Tuttle Rd,Bristol,6010,Hartford,1.0,0.6,1.6
St. Joseph School,Non-public,335 Center St,Bristol,6010,Hartford,3.8,0.0,3.8
St. Pauls Catholic High School,Non-public,1001 Stafford Ave,Bristol,6010,Hartford,2.5,0.5,3.0
Stafford Elementary School,Public,212 Louisiana Avenue,Bristol,6010,Hartford,0.6,0.0,0.6
West Bristol School,Public,500 Clark Avenue,Bristol,6010,Hartford,2.0,0.4,2.4
Broad Brook Elementary School,Public,14 Rye St,Broad Brook,6016,Hartford,2.3,0.2,2.5
East Windsor Middle School,Public,38 Main Street,Broad Brook,6082,Hartford,3.4,0.3,3.7
Brookfield High School,Public,45 Long Meadow Hill Rd,Brookfield,6804,Fairfield,2.6,0.6,3.2
Center Elementary School,Public,8 Obtuse Hill Rd,Brookfield,6804,Fairfield,1.3,0.0,1.3
Christian Life Academy,Non-public,133 Junction Road,Brookfield,6804,Fairfield,0.9,0.0,0.9
Huckleberry Hill Elementary School,Public,100 Candlewood Lake Rd.,Brookfield,6804,Fairfield,3.5,0.2,3.7
Whisconier Middle School,Public,17 West Whisconier Rd,Brookfield,6804,Fairfield,2.8,0.4,3.2
Brooklyn Elementary School,Public,119 Gorman Rd,Brooklyn,6234,Windham,5.4,0.6,6.0
Brooklyn Middle School,Public,119 Gorman Road,Brooklyn,6234,Windham,3.9,0.6,4.5
The Learning Clinic,Non-public,473 Pomfret Rd,Brooklyn,6234,Windham,,,
Harbur Middle School,Public,24 Lyon Road,Burlington,6013,Hartford,1.7,0.0,1.7
Lake Garda,Public,61 Monce,Burlington,6013,Hartford,3.6,0.0,3.6
Lewis S Mills High School,Public,26 Lyon Rd,Burlington,6013,Hartford,1.4,0.0,1.4
North Canaan Elementary School,Public,90 Pease Street,Canaan,6018,Litchfield,0.0,0.4,0.4
Canterbury Elementary School,Public,67 Kitt Road,Canterbury,6331,Windham,1.8,0.0,1.8
Dr Helen Baldwin Middle School,Public,45 Westminster Road,Canterbury,6331,Windham,3.0,0.0,3.0
Canton High School,Public,76 Simonds Ave,Canton,6019,Hartford,2.1,0.0,2.1
Canton Intermediate School,Public,39 Dyer Ave,Canton,6019,Hartford,6.0,0.0,6.0
Canton Middle School,Public,76 Simonds Ave,Canton,6019,Hartford,5.2,0.0,5.2
Cherry Brook Primary School,Public,4 Barbourtown Road,Canton,6019,Hartford,3.6,1.1,4.7
Fresh Start School,Non-public,126 Dowd Ave,Canton,6019,Hartford,,,
Essex Elementary School,Public,108 Main St.,Centerbrook,6426,Middlesex,1.3,0.0,1.3
Plainfield High School,Public,105 Putnam Road,Central Village,6332,Windham,2.7,0.0,2.7
Chaplin Elementary School,Public,240 Palmer Road,Chaplin,6235,Windham,1.4,0.0,1.4
Parish Hill Middle High School,Public,304 Parish Hill Rd,Chaplin,6235,Windham,0.0,0.5,0.5
Chapman Elementary,Public,38 Country Club Road,Cheshire,6410,New Haven,2.2,0.0,2.2
Cheshire Academy,Non-public,10 Main Street,Cheshire,6410,New Haven,0.6,0.0,0.6
Cheshire High School,Public,525 South Main St.,Cheshire,6410,New Haven,1.1,0.1,1.2
Darcey,Public,1686 Waterbury Rd.,Cheshire,6410,New Haven,0.0,0.0,0.0
Dodd Middle School,Public,100 Park Place,Cheshire,6410,New Haven,2.4,0.2,2.6
